Trip_ID,Route_ID,Route_Name,Route_Description,Origin,Destination,Representative_Stop,Latitude,Longitude,Date,Hour,Minute,Weekday,Is_Weekend,Month,Season,Peak_Hour,Weather,Temperature_C,Rainfall_mm,Humidity_pct,Traffic_Level,Traffic_Index,Distance_km_Proxy,Scheduled_Arrival,Actual_Arrival_Simulated,Delay_Minutes,Delay_Severity,Passenger_Count_Simulated,Passenger_Disruption_Score,Transport_Data_Source,Transport_Data_Status,Weather_Data_Status,Traffic_Data_Status,Delay_Data_Status,Passenger_Data_Status,Representative_Coordinate_Note
CHN100010,10929,121D,Thangal Tollgate TO Manali New Town,Thangal Tollgate,Manali New Town,Murugan Store,12.9598,80.17069,2026-04-21,15,10,Tuesday,0,4,Summer,0,Clear,28.7,0.0,66.0,Low,37.2,12.91,15:10,2026-04-21 15:19,9.4,Moderate,21,10.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100011,18171,37,Poonamallee B.T TO Vadapalani,Poonamallee B.T,Vadapalani,Moolai Road,13.46864,80.13755,2025-04-04,12,25,Friday,0,4,Summer,0,Clear,28.7,0.0,77.1,Moderate,35.2,25.06,12:25,2025-04-04 12:30,5.4,Moderate,45,22.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100012,11906,55Et,Mannivakkam K.K.Nagar TO Tambaram West,Mannivakkam K.K.Nagar,Tambaram West,Munipillai Chathiram,13.02601,80.23143,2026-05-08,21,30,Friday,0,5,Summer,0,Clear,35.7,0.0,62.7,Moderate,33.9,17.72,21:30,2026-05-08 21:41,11.3,Moderate,51,25.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100013,20295,T29C CT,Thiruvanmiyur TO Periyar Nagar,Thiruvanmiyur,Periyar Nagar,Foreshore Estate,13.02389,80.27357,2025-06-20,8,35,Friday,0,6,Southwest_Monsoon,1,Rainy,33.0,3.54,98.0,Very High,100.0,27.0,08:35,2025-06-20 08:59,24.6,Severe,56,56.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100014,22577,64D CT4,Island ground Terminus TO Moolakadai,Island ground Terminus,Moolakadai,Theradi Beach Road,13.16019,80.30604,2025-05-31,9,0,Saturday,1,5,Summer,0,Clear,33.0,0.0,73.5,Low,5.0,22.68,09:00,2025-05-31 09:06,6.5,Moderate,38,19.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100015,16576,25,Iyyapanthangal TO Anna Square,Iyyapanthangal,Anna Square,Power House Kodambakkam,13.05246,80.22025,2026-06-05,17,15,Friday,0,6,Southwest_Monsoon,1,Clear,33.2,0.0,74.5,High,61.3,25.86,17:15,2026-06-05 17:28,13.4,Moderate,62,31.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100016,23396,121C CT1,M.G.R.Koyambedu TO Anna Nagar West Depot,M.G.R.Koyambedu,Anna Nagar West Depot,Jai Garden,13.03886,80.1683,2025-12-19,17,0,Friday,0,12,Northeast_Monsoon,1,Rainy,23.5,6.83,71.5,Very High,93.6,28.36,17:00,2025-12-19 17:24,24.7,Severe,73,73.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100017,18025,1C CT,Thiruvanmiyur Bus TO Ennore Bus,Thiruvanmiyur Bus,Ennore Bus,Kondencherri New Colony,13.03605,79.8377,2025-08-24,11,45,Sunday,1,8,Southwest_Monsoon,0,Cloudy,28.5,0.0,74.9,Moderate,52.0,17.25,11:45,2025-08-24 11:49,4.7,On Time,53,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100018,10303,154E,Ekkattuthangal TO Vellavedu,Ekkattuthangal,Vellavedu,Nanganallur Murugan Kovil,12.98059,80.19176,2025-06-30,21,35,Monday,0,6,Southwest_Monsoon,0,Clear,30.8,0.0,75.6,Low,7.6,25.26,21:35,2025-06-30 21:40,5.6,Moderate,15,7.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100019,23191,19D CT1,Semmancheri S.C.B TO Mandaveli,Semmancheri S.C.B,Mandaveli,Vepery Police Station,13.08619,80.26133,2025-08-30,20,15,Saturday,1,8,Southwest_Monsoon,0,Rainy,31.7,4.17,79.7,Moderate,39.5,15.09,20:15,2025-08-30 20:22,7.9,Moderate,51,25.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100020,23217,101CT1,Tondairpet TO Thiruvottriyur,Tondairpet,Thiruvottriyur,Kaliyappa Hospital,13.02718,80.25441,2026-03-09,16,30,Monday,0,3,Summer,0,Clear,30.4,0.0,60.9,Low,30.7,19.46,16:30,2026-03-09 16:34,4.3,On Time,12,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100021,22186,7K R,Island ground TO Padikuppam,Island ground,Padikuppam,Kodikambam,12.90243,80.10085,2025-03-25,18,45,Tuesday,0,3,Summer,1,Clear,26.6,0.0,69.6,High,64.4,12.51,18:45,2025-03-25 19:08,23.5,Severe,69,69.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100022,21299,56P CT12,Thangal TO  Island ground,Thangal,Island ground,Kalaivani Nagar 1st Street,12.8247,80.0555,2025-04-06,14,45,Sunday,1,4,Summer,0,Clear,31.5,0.0,71.0,Moderate,56.1,13.14,14:45,2025-04-06 14:53,8.2,Moderate,51,25.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100023,20083,62 CT14,Avadi B.T TO Poonamallee B.T,Avadi B.T,Poonamallee B.T,Thiruvanmiyur Depot,12.98641,80.25802,2025-06-16,13,55,Monday,0,6,Southwest_Monsoon,0,Clear,29.7,0.0,67.5,Moderate,41.4,16.55,13:55,2025-06-16 13:57,2.6,On Time,40,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100024,19879,47A,Icf Junction TO Ayanavaram Signal,Icf Junction,Ayanavaram Signal,Jj Nagar East Fire Station,13.08487,80.18747,2025-09-21,14,15,Sunday,1,9,Southwest_Monsoon,0,Cloudy,27.4,0.0,66.1,Moderate,36.4,25.91,14:15,2025-09-21 14:19,4.1,On Time,33,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100025,17950,77V,Ambattur I.E TO Veppampattu E.Waran Nagar,Ambattur I.E,Veppampattu E.Waran Nagar,Andarmadam School,13.40445,80.29342,2026-03-21,20,10,Saturday,1,3,Summer,0,Clear,28.4,0.0,65.0,Low,8.4,28.33,20:10,2026-03-21 20:15,5.6,Moderate,46,23.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100026,17712,45A,Vivekananda House TO N.G.O.Colony,Vivekananda House,N.G.O.Colony,Pattaravakkam Railway Station,13.11578,80.16657,2025-04-26,5,45,Saturday,1,4,Summer,0,Cloudy,29.2,0.0,66.3,Low,5.0,21.32,05:45,2025-04-26 05:48,3.5,On Time,23,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100027,23244,159B,M.G.R.Koyambedu TO Tondiarpet,M.G.R.Koyambedu,Tondiarpet,Payyanur,12.64097,80.17284,2026-03-06,6,55,Friday,0,3,Summer,0,Clear,32.9,0.0,70.6,Moderate,29.5,21.13,06:55,2026-03-06 07:02,7.4,Moderate,54,27.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100028,23181,102X CT7,Thiruporur TO Thiruvanmiyur,Thiruporur,Thiruvanmiyur,Budur Hospital,13.234,80.20667,2026-05-11,13,10,Monday,0,5,Summer,0,Cloudy,31.9,0.0,76.5,Moderate,36.4,17.52,13:10,2026-05-11 13:15,5.1,Moderate,39,19.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100029,23335,10E R1,Saidapet West Bus Stand TO  Royapuram terminus,Saidapet West Bus Stand,Royapuram terminus,Devaneri,12.65131,80.20619,2025-08-26,15,40,Tuesday,0,8,Southwest_Monsoon,0,Clear,29.6,0.0,74.2,Moderate,49.7,15.46,15:40,2025-08-26 15:44,4.5,On Time,51,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100030,23191,19D CT1,Semmancheri S.C.B TO Mandaveli,Semmancheri S.C.B,Mandaveli,M.G.R Nagar,12.80894,80.15053,2026-06-09,8,35,Tuesday,0,6,Southwest_Monsoon,1,Clear,33.8,0.0,70.6,High,88.1,15.09,08:35,2026-06-09 08:44,9.8,Moderate,58,29.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100031,20106,23C CT4,Egmore Railway Station TO  Besant Nagar Terminus,Egmore Railway Station,Besant Nagar Terminus,Sidco Kunrathur,12.96903,80.09526,2026-05-03,15,50,Sunday,1,5,Summer,0,Clear,32.6,0.0,69.2,Moderate,42.9,19.06,15:50,2026-05-03 15:50,0.0,On Time,57,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100032,21376,102K CT19,Broadway TO Perumpakkam S.C.B,Broadway,Perumpakkam S.C.B,Ramanujar Engg College Or Balaji Plytechnic,12.86712,80.11549,2026-03-12,5,15,Thursday,0,3,Summer,0,Clear,29.4,0.0,74.6,Moderate,42.5,25.1,05:15,2026-03-12 05:15,0.0,On Time,40,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100033,21192,18RX R,Keelkattalai TO Royapuram terminus,Keelkattalai,Royapuram terminus,Sengadu,13.02969,79.9184,2025-07-27,9,20,Sunday,1,7,Southwest_Monsoon,0,Rainy,31.8,5.83,82.0,Low,34.4,22.04,09:20,2025-07-27 09:32,12.9,Moderate,40,20.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100034,10781,202,Tambaram West TO Avadi B.T,Tambaram West,Avadi B.T,Sidco Kunrathur,12.96908,80.09517,2025-06-14,13,35,Saturday,1,6,Southwest_Monsoon,0,Clear,32.1,0.0,55.7,Low,23.1,15.84,13:35,2025-06-14 13:35,0.6,On Time,36,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100035,23147,221 CT7,Thiruporur Bus Stand TO M.G.R.Koyambedu,Thiruporur Bus Stand,M.G.R.Koyambedu,Pattur,13.02302,80.11855,2026-04-17,5,50,Friday,0,4,Summer,0,Cloudy,30.1,0.0,68.3,Moderate,43.2,28.05,05:50,2026-04-17 05:57,7.9,Moderate,12,6.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100036,23915,18K R1,Saidapet West TO  Royapuram terminus,Saidapet West,Royapuram terminus,Ramapuram Ashram,13.0315,80.18386,2025-08-30,16,50,Saturday,1,8,Southwest_Monsoon,0,Rainy,30.2,3.26,85.9,High,70.4,18.43,16:50,2025-08-30 17:04,14.5,Moderate,51,25.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100037,23833,21G CT11,Central Depot TO  Island ground,Central Depot,Island ground,Kalaivanar Arangam,13.0662,80.27548,2025-01-18,14,30,Saturday,1,1,Winter,0,Clear,25.8,0.0,71.7,Moderate,40.0,26.73,14:30,2025-01-18 14:32,2.9,On Time,42,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100038,13284,S22,Iyyappanthangal TO Kumananchavadi,Iyyappanthangal,Kumananchavadi,Vhs Hospital,13.00359,80.24733,2026-01-27,15,25,Tuesday,0,1,Winter,0,Clear,24.4,0.0,78.4,Moderate,31.5,22.99,15:25,2026-01-27 15:30,5.0,On Time,30,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100039,22416,24A CT1,Anna Nagar West TO L.F.C,Anna Nagar West,L.F.C,I.O.B Bank,12.95439,80.13548,2025-07-09,14,15,Wednesday,0,7,Southwest_Monsoon,0,Cloudy,33.5,0.0,68.2,Low,31.0,9.61,14:15,2025-07-09 14:18,3.0,On Time,25,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100040,11892,557,Redhills TO Moolakadai,Redhills,Moolakadai,Arumbakkam Ph Road,13.07717,80.20891,2026-05-26,17,25,Tuesday,0,5,Summer,1,Clear,30.0,0.0,58.4,High,81.9,19.83,17:25,2026-05-26 17:38,13.3,Moderate,78,39.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100041,23656,P570S CT3,M.G.R.Koyambedu Bus Terminus TO Poonamallee Depot EV,M.G.R.Koyambedu Bus Terminus,Poonamallee Depot EV,Defence Colony,13.02595,80.19989,2026-04-12,16,55,Sunday,1,4,Summer,0,Rainy,31.1,3.59,80.2,Moderate,30.4,25.94,16:55,2026-04-12 17:04,9.9,Moderate,47,23.5,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100042,12091,570Et,K.K.Nagar TO M.G.R.Koyambedu,K.K.Nagar,M.G.R.Koyambedu,Vaanuvampettai,12.98178,80.19576,2025-02-26,16,15,Wednesday,0,2,Winter,0,Clear,29.5,0.0,58.0,Low,9.4,18.37,16:15,2025-02-26 16:16,1.3,On Time,58,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100043,17349,154,Saidapet TO Thiyagarayanagar Terminus,Saidapet,Thiyagarayanagar Terminus,Cancer Hospital,13.01089,80.24885,2026-05-08,8,55,Friday,0,5,Summer,1,Clear,32.8,0.0,91.2,High,74.2,17.82,08:55,2026-05-08 09:11,16.6,Severe,65,65.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100044,22798,101CT,Royapuram TO  Poonamallee Depot,Royapuram,Poonamallee Depot,Kodungaiyur Dumping Station,13.13003,80.26725,2026-06-03,17,20,Wednesday,0,6,Southwest_Monsoon,1,Heavy Rain,34.0,8.53,84.6,Very High,100.0,25.54,17:20,2026-06-03 17:47,27.9,Severe,67,67.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100045,12513,62M,M.M.B.T TO Madhavaram,M.M.B.T,Madhavaram,Guindy,13.00948,80.21103,2026-02-18,8,10,Wednesday,0,2,Winter,1,Clear,28.0,0.0,65.3,Moderate,33.8,17.26,08:10,2026-02-18 08:15,5.9,Moderate,58,29.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100046,23335,10E R1,Saidapet West Bus Stand TO  Royapuram terminus,Saidapet West Bus Stand,Royapuram terminus,Kandhaswami Temple Tank Thiruporur,12.7249,80.18803,2025-05-31,5,40,Saturday,1,5,Summer,0,Clear,30.2,0.0,63.2,Moderate,30.6,15.46,05:40,2025-05-31 05:46,6.2,Moderate,54,27.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
CHN100047,9750,19D,Semmancheri S.C.B TO Tambaram West,Semmancheri S.C.B,Tambaram West,Vanavil,13.04149,80.24742,2026-01-01,22,30,Thursday,0,1,Winter,0,Clear,29.3,0.0,70.9,Low,37.6,15.93,22:30,2026-01-01 22:32,2.9,On Time,24,0.0,ChennaiGTFS / UngalSoththu MTC GTFS,Public route/stop data,Simulated feature for capstone experimentation,Simulated feature for capstone experimentation,Simulated target for capstone experimentation,Simulated operational feature,"Coordinate is a representative public GTFS stop point, not a recorded bus GPS position."
